City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Ratnagiri,IN,2020-04-17 07:09:25,16.98,73.3,96.28,43,10,6.33
140,Saint-Pierre,RE,2020-04-17 07:05:48,-21.34,55.48,80.6,65,4,8.05
141,Saint-Philippe,RE,2020-04-17 07:09:26,-21.36,55.77,80.6,65,11,8.05
142,Wolfsburg,DE,2020-04-17 07:09:26,52.43,10.8,46.99,72,64,3.71
143,Khani,GE,2020-04-17 07:09:26,41.96,42.96,53.6,66,0,13.87
144,Touros,BR,2020-04-17 07:09:27,-5.2,-35.46,79.66,85,77,14.07
145,Pangoa,PE,2020-04-17 07:09:27,-12.12,-73.0,62.24,75,96,1.52
146,Broome,US,2020-04-17 07:09:27,42.25,-75.83,28.99,61,17,6.91
147,Olafsvik,IS,2020-04-17 07:09:27,64.89,-23.71,43.14,95,100,18.86
148,Nanortalik,GL,2020-04-17 07:09:27,60.14,-45.24,29.19,97,100,19.82
149,Bonavista,CA,2020-04-17 07:09:28,48.65,-53.11,27.0,70,24,11.99
150,Cooma,AU,2020-04-17 07:09:28,-36.23,149.13,63.79,21,0,9.24
151,Derazhnya,UA,2020-04-17 07:09:28,49.27,27.43,46.69,55,99,8.59
152,Bulancak,TR,2020-04-17 07:09:28,40.94,38.23,50.0,76,0,6.93
153,Sibolga,ID,2020-04-17 07:09:28,1.74,98.78,86.5,68,88,4.14
154,Katsuura,JP,2020-04-17 07:09:29,35.13,140.3,60.01,58,75,4.7
155,Saint George,US,2020-04-17 07:07:42,37.1,-113.58,57.0,35,91,6.78
156,Cabo San Lucas,MX,2020-04-17 07:08:31,22.89,-109.91,66.99,67,65,4.92
157,Santa Cruz Do Capibaribe,BR,2020-04-17 07:05:45,-7.96,-36.2,70.3,83,100,3.51
158,Yarega,RU,2020-04-17 07:09:30,63.44,53.58,34.09,89,100,11.88
159,Harrison,US,2020-04-17 07:09:30,30.41,-89.04,55.99,100,63,8.99
160,Izmalkovo,RU,2020-04-17 07:09:30,52.69,37.96,37.35,70,84,17.83
161,Biak,ID,2020-04-17 07:09:30,-0.91,122.88,84.36,70,37,4.7
162,Castro,BR,2020-04-17 07:05:00,-24.79,-50.01,47.35,52,0,2.55
163,Great Yarmouth,GB,2020-04-17 07:09:31,52.61,1.73,50.0,87,19,14.99
164,Labuhan,ID,2020-04-17 07:09:31,-6.88,112.21,87.91,66,60,7.16
165,Bukama,CD,2020-04-17 07:09:31,-9.2,25.85,73.56,75,86,2.21
166,Nishihara,JP,2020-04-17 07:09:31,26.18,127.76,77.0,57,40,12.75
167,Srednekolymsk,RU,2020-04-17 07:09:32,67.45,153.68,10.17,93,100,12.57
168,Emerald,AU,2020-04-17 07:07:51,-23.53,148.17,91.0,26,7,5.01
169,Ostrovnoy,RU,2020-04-17 07:09:32,68.05,39.51,31.86,96,83,15.79
170,Mihaileni,RO,2020-04-17 07:09:32,47.97,26.15,57.99,43,82,1.12
171,Okha,RU,2020-04-17 07:09:33,53.57,142.95,41.7,74,27,12.41
172,Bethel,US,2020-04-17 07:09:33,41.37,-73.41,37.0,67,37,1.01
173,Lovozero,RU,2020-04-17 07:09:33,68.0,35.01,32.23,90,100,16.17
174,Darhan,MN,2020-04-17 07:09:33,49.49,105.92,61.29,22,62,6.58
175,Esmeraldas,BR,2020-04-17 07:09:34,-19.76,-44.31,64.53,71,91,3.06
176,Wewak,PG,2020-04-17 07:09:34,-3.55,143.63,84.24,74,33,8.72
177,Geraldton,AU,2020-04-17 07:09:34,-28.77,114.6,80.01,52,90,3.0
178,Bud,US,2020-04-17 07:09:35,39.45,-86.18,42.01,95,100,7.83
179,Fairbanks,US,2020-04-17 07:08:11,64.84,-147.72,37.99,84,69,1.7
180,Nagda,IN,2020-04-17 07:09:35,23.45,75.42,102.33,11,29,19.17
181,Verkhnechusovskiye Gorodki,RU,2020-04-17 07:09:36,58.17,57.11,42.39,63,25,11.23
182,Kruisfontein,ZA,2020-04-17 07:05:35,-34.0,24.73,59.97,59,60,1.86
